,Kontengruppe,Profitcenter,Profitcenter-Bezeichnung,Art,HH Art,PSP-Element,Kostenart,Kostenart Beschreibung,Betrag,Betrag_Typ,Jahr
749,,,,,,1.100.06.01,43210022.0,E-Beitr KiTa Ulrich-von-Hutten,"-42.836,00",Plan,2016
750,,,,,,1.100.06.01,43210023.0,E-Beitr KiTa Pusenhof,"-45.199,00",Plan,2016
751,,,,,,1.100.06.01,43210024.0,E-Beitr KiTa Wilhelm-Müller,"-31.015,00",Plan,2016
752,,,,,,1.100.06.01,43210025.0,E-Beitr KiTa Lockertstraße,"-42.836,00",Plan,2016
753,,,,,,1.100.06.01,43210026.0,E-Beitr KiTa Konrad-Adenauer,"-68.838,00",Plan,2016
754,,,,,,1.100.06.01,43210027.0,E-Beitr KiTa Barbarastraße,"-34.562,00",Plan,2016
755,,,,,,1.100.06.01,43210028.0,E-Beitr KiTa Erlenweg,"-96.025,00",Plan,2016
756,,,,,,1.100.06.01,43210029.0,E-Beitr KiTa Schuki.-Anna,"-10.637,00",Plan,2016
757,,,,,,1.100.06.01,43210030.0,E-Beitr KiTa Am Pandyck,"-122.027,00",Plan,2016
758,,,,,,1.100.06.01,43210031.0,E-Beitr KiTa Rüttgersweg,"-127.936,00",Plan,2016
759,,,,,,1.100.06.01,43210032.0,E-Beitr KiTa Walt-Karentz,"-139.757,00",Plan,2016
760,,,,,,1.100.06.01,43210033.0,E-Beitr KiTa Kastell,"-92.478,00",Plan,2016
761,,,,,,1.100.06.01,43210034.0,E-Beitr KiTa Königsberg.,"-45.199,00",Plan,2016
762,,,,,,1.100.06.01,43210035.0,E-Beitr KiTa Bonifatius,"-86.568,00",Plan,2016
763,,,,,,1.100.06.01,43210036.0,E-Beitr KiTa Cecilienstraße,"-45.199,00",Plan,2016
764,,,,,,1.100.06.01,43210037.0,E-Beitr KiTa An der Sandkull,"-74.748,00",Plan,2016
765,,,,,,1.100.06.01,43210038.0,E-Beitr KiTa Eicker Grund,"-72.386,00",Plan,2016
766,,,,,,1.100.06.01,43210039.0,E-Beitr KiTa Eupener Straße,"-47.563,00",Plan,2016
767,,,,,,1.100.06.01,43210040.0,E-Beitr KiTa Bahnhofstraße,"-80.659,00",Plan,2016
768,,,,,,1.100.06.01,43210041.0,E-Beitr KiTa Leibnizstraße,"-80.659,00",Plan,2016
769,,,,,,1.100.06.01,43210042.0,E-Beitr KiTa Länglingsweg,"-32.198,00",Plan,2016
770,,,,,,1.100.06.01,43210043.0,E-Beitr KiTa Kleine Allee,"-92.478,00",Plan,2016
771,,,,,,1.100.06.01,43210044.0,E-Beitr KiTa Kranichstraße,"-68.838,00",Plan,2016
772,,,,,,1.100.06.01,43210045.0,E-Beitr KiTa Katzbachstraße,"-65.292,00",Plan,2016
773,,,,,,1.100.06.01,43210046.0,E-Beitr KiTa Hadrianstraße,"-96.025,00",Plan,2016
774,,,,,,1.100.06.01,43210047.0,E-Beitr KiTa Ackerstraße,"-110.208,00",Plan,2016
775,,,,,,1.100.06.01,43210048.0,E-Beitr KiTa Gerhard-Hauptmann,"-98.388,00",Plan,2016
776,,,,,,1.100.06.01,43210049.0,E-Beitr KiTa Boberstraße,"-45.199,00",Plan,2016
777,,,,,,1.100.06.01,43210050.0,E-Beitr KiTa Galgenbergsheide,"-41.654,00",Plan,2016
778,,,,,,1.100.06.01,43210051.0,E-Beitr KiTa Bendmannstraße,"-41.654,00",Plan,2016
779,,,,,,1.100.06.01,43210052.0,E-Beitr KiTa Dorfstraße,"-119.663,00",Plan,2016
780,,,,,,1.100.06.01,43210053.0,E-Beitr KiTa Roseggerstraße,"-80.659,00",Plan,2016
781,,,,,,1.100.06.01,43210054.0,E-Beitr KiTa Rasselbande,"-106.662,00",Plan,2016
782,,,,,,1.100.06.01,43210055.0,E-Beitr KiTa Bauklötzchen,"-139.757,00",Plan,2016
783,,,,,,1.100.06.01,43210056.0,E-Beitr KiTa AWO Eichend,"-62.929,00",Plan,2016
784,,,,,,1.100.06.01,43210057.0,E-Beitr KiTa Schuki Talstraße,"-7.683,00",Plan,2016
785,,,,,,1.100.06.01,43210058.0,E-Beitr KiTa SCI Kirschenallee,"-83.022,00",Plan,2016
786,,,,,,1.100.06.01,43210059.0,E-Beitr KiTa AWO Marktstraße,"-175.215,00",Plan,2016
787,,,,,,1.100.06.01,43210060.0,E-Beitr KiTa Jungbornstraße,"-71.202,00",Plan,2016
788,,,,,,1.100.06.01,43210061.0,E-Beitr KiTa Nikolausweg,"-92.478,00",Plan,2016
789,,,,,,1.100.06.01,43210062.0,E-Beitr KiTa Planetenstraße,"-116.118,00",Plan,2016
790,,,,,,1.100.06.01,43210063.0,E-Beitr KiTa Die Kleinsten,"-36.926,00",Plan,2016
791,,,,,,1.100.06.01,43210072.0,Elternbeitrag Tagespflege,"-316.153,00",Plan,2016
792,,,,,,1.100.06.01,43210094.0,EB auswärtige Kindertageseinrichtungen,0,Plan,2016
793,öffentlich-rechtliche Leistungsentgelte,601,Förderung v. Kindern in Tagesbetreuung,1.0,,,,,"-3.795.077,00",Plan,2016
794,,,,,,1.100.06.01,44619000.0,Vermischte Erträge,"-7.000,00",Plan,2016
795,,,,,,1.100.06.01,44619007.0,Vermischte Erträge Jugendgirokonten,0,Plan,2016
796,,,,,,1.100.06.01,44860001.0,Erträge aus Kostenerstattungen ZGM,0,Plan,2016
797,,,,,,1.100.06.01,44880011.0,Erstattung Tagespflegekosten,"-23.639,00",Plan,2016
798,Privatrechtliche Leistungsentgelte,601,Förderung v. Kindern in Tagesbetreuung,1.0,,,,,"-30.639,00",Plan,2016
799,,,,,,,45470000.0,Verr. mit allg. Rücklage bei Sachanlagen,0,Plan,2016
800,,,,,,1.100.06.01,45470000.0,Verr. mit allg. Rücklage bei Sachanlagen,0,Plan,2016
801,,,,,,1.100.06.01,45640003.0,Rückzahlung Bewirtschaftungskosten,0,Plan,2016
802,,,,,,,45720000.0,Ertr. Wertveränderung Sachanlagen,0,Plan,2016
803,,,,,,1.100.06.01,45720000.0,Ertr. Wertveränderung Sachanlagen,0,Plan,2016
804,,,,,,1.100.06.01,45820000.0,Erträge aus der Auflösung von Rückstellu,0,Plan,2016
805,,,,,,1.100.06.01,45828000.0,Auflösung Instandhaltungsrückstellungen,0,Plan,2016
806,,,,,,1.100.06.01,45829001.0,Erträge aus der Auflösung RS Prozesskost,0,Plan,2016
807,,,,,,1.100.06.01,45829002.0,Erträge aus der Auflösung RS Gr. Instand,0,Plan,2016
808,,,,,,1.100.06.01,45830100.0,ET aus der Auflösung v. Verbindlichkeite,0,Plan,2016
809,,,,,,1.100.06.01,45831000.0,Aufhebung Niederschlagung,0,Plan,2016
810,sonstige ordentliche Erträge,601,Förderung v. Kindern in Tagesbetreuung,1.0,,,,,0,Plan,2016
811,,,,,,,49111000.0,Sonstige periodenfremde Erträge-investiv,0,Plan,2016
812,,,,,,1.100.06.01,49111000.0,Sonstige periodenfremde Erträge-investiv,0,Plan,2016
813,Außerordentliche Erträge,601,Förderung v. Kindern in Tagesbetreuung,1.0,,,,,0,Plan,2016
814,,,,,,1.100.06.01,50110000.0,Bezüge Beamte,"226.278,00",Plan,2016
815,,,,,,1.100.06.01,50120000.0,Vergütungen tariflich Beschäftigte,"6.200.498,00",Plan,2016
816,,,,,,1.100.06.01,50220000.0,Versorgungskassenb. tarifl. Beschäftigte,"502.220,00",Plan,2016
817,,,,,,1.100.06.01,50320000.0,Beiträge gesetzl.SV tarifl. Beschäftigte,"1.246.694,00",Plan,2016
818,,,,,,1.100.06.01,50410000.0,Beihilfen und Unterstützungsleistungen f,"15.894,48",Plan,2016
819,,,,,,1.100.06.01,50411000.0,Beihilf. u.a.taBesch,45,Plan,2016
820,,,,,,1.100.06.01,50510000.0,Rückstellungen für Pensionsverpflichtung,"93.107,00",Plan,2016
821,,,,,,1.100.06.01,50610000.0,Rückstellungen für Beihilfen,"24.826,00",Plan,2016
822,,,,,,1.100.06.01,50710000.0,Zuf. Altersteilzeit Rückstellung Beamte,0,Plan,2016
823,,,,,,1.100.06.01,50720000.0,Zuf. ATZ-RS tBesch,0,Plan,2016
824,,,,,,1.100.06.01,50811000.0,RS Urlaub Beamte,0,Plan,2016
825,,,,,,1.100.06.01,50812000.0,RS Urlaub tarifl. Beschäftigte,0,Plan,2016
826,,,,,,1.100.06.01,50813000.0,RS Überstunden Beamte,0,Plan,2016
827,,,,,,1.100.06.01,50814000.0,RS Überstunden tarifl.Beschäftigte,0,Plan,2016
828,,,,,,1.100.06.01,50911000.0,Zuführ. Rückstellung Besoldungsnachzahlu,0,Plan,2016
829,Personalaufwendungen,601,Förderung v. Kindern in Tagesbetreuung,2.0,,,,,"8.309.562,48",Plan,2016
830,,,,,,1.100.06.01,51210000.0,Beitr. Versorgungsk. Versorgungsempfänge,"1.257,84",Plan,2016
831,,,,,,1.100.06.01,51410000.0,"Beihilfen, Unterst. Versorgungsempfänger","23.929,56",Plan,2016
832,,,,,,1.100.06.01,51510000.0,Zuf. Pensionsrückst. Versorgungsempf.,"81.185,00",Plan,2016
833,,,,,,1.100.06.01,51610000.0,Zuf. Beihilferückst. Versorgungsempf.,"22.084,00",Plan,2016
834,,,,,,1.100.06.01,51711000.0,Zuführ. Rückstellung Besoldungsnz. Verso,0,Plan,2016
835,Versorgungsaufwendungen,601,Förderung v. Kindern in Tagesbetreuung,2.0,,,,,"128.456,40",Plan,2016
836,,,,,,1.100.06.01,52119000.0,Instandhaltung ZGM,"120.000,00",Plan,2016
837,,,,,,1.100.06.01,52351000.0,Managemententgelte ZGM,"1.316.061,00",Plan,2016
838,,,,,,1.100.06.01,52380001.0,Qualifizierung Tagesmütter,"26.539,00",Plan,2016
839,,,,,,1.100.06.01,52410200.0,Bewirtschaftung ENNI,0,Plan,2016
840,,,,,,1.100.06.01,52550000.0,Unterhaltung des so. bewegl. Vermögens,"4.148,00",Plan,2016
841,,,,,,1.100.06.01,52550013.0,Erwerb Vermögensgegenstände < 410 Euro,"34.500,00",Plan,2016
842,,,,,,1.100.06.01,52810000.0,Sonstige Sachleistungen,"233.626,00",Plan,2016
843,,,,,,1.100.06.01,52810048.0,Spülmittel,"4.204,00",Plan,2016
844,,,,,,1.100.06.01,52810089.0,Vertr.Leist.Neubauprojekt KG Meerbeck,0,Plan,2016
845,,,,,,1.100.06.01,52910016.0,Therapeutisches Personal KiTa Lockertstr,"50.000,00",Plan,2016
846,Aufwendungen für Sach- und Dienstleistungen,601,Förderung v. Kindern in Tagesbetreuung,2.0,,,,,"1.789.078,00",Plan,2016
847,,,,,,1.100.06.01,53180009.0,Zuschuss Betriebskosten Kindergärten,"12.131.375,00",Plan,2016
848,,,,,,1.100.06.01,53180041.0,Zuschuss Förderung Familienzentrum,"14.000,00",Plan,2016
849,,,,,,1.100.06.01,53180043.0,Zuschuss Fahrtkosten integrierte Gruppen,"4.000,00",Plan,2016
850,,,,,,1.100.06.01,53180044.0,Zuschuss kein Kind ohne Mahlzeit,"240.000,00",Plan,2016
851,Transferaufwendungen,601,Förderung v. Kindern in Tagesbetreuung,2.0,,,,,"12.389.375,00",Plan,2016
852,,,,,,1.100.06.01,54111000.0,Fahrtkostenerstattung Beamte,"1.671,00",Plan,2016
853,,,,,,1.100.06.01,54111100.0,Fahrtkostenerstattung tariflich Beschäft,0,Plan,2016
854,,,,,,1.100.06.01,54115000.0,Personal OGATA,0,Plan,2016
855,,,,,,1.100.06.01,54115001.0,Sprachförderung,"15.000,00",Plan,2016
856,,,,,,1.100.06.01,54120001.0,Dienst-/Schutzkleidung,105,Plan,2016
857,,,,,,,54130000.0,Aus- und Fortbildung,0,Plan,2016
858,,,,,,,54130000.0,Aus- und Fortbildung,0,Plan,2016
859,,,,,,,54130000.0,Aus- und Fortbildung,0,Plan,2016
860,,,,,,,54130000.0,Aus- und Fortbildung,0,Plan,2016
861,,,,,,1.100.06.01,54130000.0,Aus- und Fortbildung,949,Plan,2016
862,,,,,,,54130002.0,Fortbildung und Praxisberatung,0,Plan,2016
863,,,,,,,54130002.0,Fortbildung und Praxisberatung,0,Plan,2016
864,,,,,,,54130002.0,Fortbildung und Praxisberatung,0,Plan,2016
865,,,,,,1.100.06.01,54130002.0,Fortbildung und Praxisberatung,"10.650,00",Plan,2016
866,,,,,,1.100.06.01,54130012.0,Fachberatung KTE,"32.600,00",Plan,2016
867,,,,,,1.100.06.01,54211002.0,Kosten Tagespflege,"2.930.049,00",Plan,2016
868,,,,,,1.100.06.01,54291000.0,Prozesskosten,300,Plan,2016
869,,,,,,1.100.06.01,54294000.0,Verwaltungskostenbeitrag RVK,"1.043,28",Plan,2016
870,,,,,,1.100.06.01,54310000.0,Büromaterial,"744,86",Plan,2016
871,,,,,,1.100.06.01,54311000.0,Telekommunikation,"2.152,31",Plan,2016
872,,,,,,1.100.06.01,54311200.0,Zeitungen/Fachliteratur,510,Plan,2016
873,,,,,,1.100.06.01,54311500.0,Porto,"5.733,53",Plan,2016
874,,,,,,1.100.06.01,54311700.0,Budgets,"158.463,00",Plan,2016
875,,,,,,1.100.06.01,54315001.0,GEMA-Gebühren,450,Plan,2016
876,,,,,,1.100.06.01,54315002.0,GEZ-Gebühren,"2.500,00",Plan,2016
877,,,,,,1.100.06.01,54490001.0,Wertberichtigung von Forderungen wg.Unei,0,Plan,2016
878,,,,,,,54710000.0,Wertveränderungen bei Sachanlagen,0,Plan,2016
879,,,,,,1.100.06.01,54710000.0,Wertveränderungen bei Sachanlagen,0,Plan,2016
880,,,,,,,54770000.0,Verr.bei Sachanlagen mit allg. Rücklage,0,Plan,2016
881,,,,,,1.100.06.01,54770000.0,Verr.bei Sachanlagen mit allg. Rücklage,0,Plan,2016
882,,,,,,1.100.06.01,54990003.0,Weiterleitung Einnahmen,"61.000,00",Plan,2016
883,,,,,,1.100.06.01,54990007.0,Ausb.Ford./Erlass,0,Plan,2016
884,sonstige ordentliche Aufwendungen,601,Förderung v. Kindern in Tagesbetreuung,2.0,,,,,"3.223.920,98",Plan,2016
885,,,,,,,57112000.0,AfA auf unbebaute Grundstücke,0,Plan,2016
886,,,,,,1.100.06.01,57112000.0,AfA auf unbebaute Grundstücke,0,Plan,2016
887,,,,,,,57113000.0,AfA auf Gebäude,0,Plan,2016
888,,,,,,1.100.06.01,57113000.0,AfA auf Gebäude,"777.026,83",Plan,2016
889,,,,,,1.100.06.01,57113001.0,Abschreibungen auf Gebäude EÖB,0,Plan,2016
890,,,,,,,57115000.0,AfA auf Maschinen u. technische Anlagen,0,Plan,2016
891,,,,,,1.100.06.01,57115000.0,AfA auf Maschinen u. technische Anlagen,"179,04",Plan,2016
892,,,,,,1.100.06.01,57115001.0,Afa auf Maschinen und techn. Anlage EÖB,0,Plan,2016
893,,,,,,,57117000.0,AfA auf Betriebs- und Geschäftsausst.,0,Plan,2016
894,,,,,,1.100.06.01,57117000.0,AfA auf Betriebs- und Geschäftsausst.,"67.388,24",Plan,2016
895,,,,,,1.100.06.01,57117001.0,Afa auf Betriebs- und Geschäftsaust. EÖB,0,Plan,2016
896,,,,,,,57118000.0,AfA auf geringwertige Wirtschaftsgüter,0,Plan,2016
897,,,,,,1.100.06.01,57118000.0,AfA auf geringwertige Wirtschaftsgüter,0,Plan,2016
898,Bilanzielle Aufwendungen,601,Förderung v. Kindern in Tagesbetreuung,2.0,,,,,"844.594,11",Plan,2016
899,,,,,,1.100.06.01,58110001.0,ILV Medienpool,10,Plan,2016
900,,,,,,1.100.06.01,58110008.0,ILV Amtsblatt,0,Plan,2016
901,,,,,,1.100.06.01,58110011.0,Interne Leistungsbeziehungen Schulraumnu,"1.000,00",Plan,2016
902,Aufwendungen aus internen Leistungsbeziehungen,601,Förderung v. Kindern in Tagesbetreuung,5.0,,,,,"1.010,00",Plan,2016
903,,,,,,,59111000.0,Sonstige außergewöhnl. Aufw. - investiv,0,Plan,2016
904,,,,,,1.100.06.01,59111000.0,Sonstige außergewöhnl. Aufw. - investiv,0,Plan,2016
905,Außerordentliche Aufwendungen,601,Förderung v. Kindern in Tagesbetreuung,2.0,,,,,0,Plan,2016
906,,,,,,1.100.06.02,41410000.0,Zuw.u.Zusch.für lfd.Zwecke vom Land,"-33.000,00",Plan,2016
907,,,,,,1.100.06.02,41411009.0,ZL OGATA Annastr.,"-108.262,00",Plan,2016
908,,,,,,1.100.06.02,41411010.0,ZL OGATA Achterrathsfeldschule,0,Plan,2016
909,,,,,,1.100.06.02,41411011.0,ZL Kinder- u. Jugendarbeit,"-110.740,00",Plan,2016
910,,,,,,1.100.06.02,41421008.0,Kulturrucksack,0,Plan,2016
911,,,,,,1.100.06.02,41481000.0,Spenden,"-2.000,00",Plan,2016
912,,,,,,1.100.06.02,41481003.0,Essensgeld OGATA,"-58.280,00",Plan,2016
913,,,,,,,41610000.0,Erträge aus  SoPO-Auflösung aus Zuweisun,0,Plan,2016
914,,,,,,1.100.06.02,41610000.0,Erträge aus  SoPO-Auflösung aus Zuweisun,"-8.258,60",Plan,2016
915,,,,,,,41611000.0,ET SoPO-Aufl. aus Zuw. Land,0,Plan,2016
916,,,,,,1.100.06.02,41611000.0,ET SoPO-Aufl. aus Zuw. Land,"-214.445,75",Plan,2016
917,,,,,,,41618000.0,Erträge aus der SoPO-Auflösung Zuschüsse,0,Plan,2016
918,,,,,,1.100.06.02,41618000.0,Erträge aus der SoPO-Auflösung Zuschüsse,"-933,33",Plan,2016
919,,,,,,,41700001.0,Erträge aus Abgang SoPO Zuweisungen,0,Plan,2016
920,,,,,,1.100.06.02,41700001.0,Erträge aus Abgang SoPO Zuweisungen,0,Plan,2016
921,Zuwendungen und allgemeine Umlagen,602,Kinder- und Jugendarbeit,1.0,,,,,"-535.919,68",Plan,2016
922,,,,,,1.100.06.02,43210000.0,Benutzungsgebühren und ähnliche Entgelte,"-2.897,00",Plan,2016
923,öffentlich-rechtliche Leistungsentgelte,602,Kinder- und Jugendarbeit,1.0,,,,,"-2.897,00",Plan,2016
924,,,,,,1.100.06.02,44611001.0,Jugendpflegerische Maßnahmen,"-27.000,00",Plan,2016
925,,,,,,1.100.06.02,44619000.0,Vermischte Erträge,"-1.000,00",Plan,2016
926,,,,,,1.100.06.02,44619007.0,Vermischte Erträge Jugendgirokonten,"-4.000,00",Plan,2016
927,,,,,,1.100.06.02,44870006.0,Erstattung SV-Beiträge,0,Plan,2016
928,,,,,,1.100.06.02,44880012.0,Erstattung von Zuschüssen,"-7.287,00",Plan,2016
929,,,,,,1.100.06.02,44880026.0,Erstattung Versicherungen,0,Plan,2016
930,Privatrechtliche Leistungsentgelte,602,Kinder- und Jugendarbeit,1.0,,,,,"-39.287,00",Plan,2016
931,,,,,,1.100.06.02,45420000.0,Erträge a.d. Veräuß. Sachen >410 Euro,0,Plan,2016
932,,,,,,,45470000.0,Verr. mit allg. Rücklage bei Sachanlagen,0,Plan,2016
933,,,,,,1.100.06.02,45470000.0,Verr. mit allg. Rücklage bei Sachanlagen,0,Plan,2016
934,,,,,,,45710000.0,Ertr. sonstige SoPo-Auflösung EÖB Plan,0,Plan,2016
935,,,,,,1.100.06.02,45710000.0,Ertr. sonstige SoPo-Auflösung EÖB Plan,"-764,05",Plan,2016
936,,,,,,,45720000.0,Ertr. Wertveränderung Sachanlagen,0,Plan,2016
937,,,,,,1.100.06.02,45720000.0,Ertr. Wertveränderung Sachanlagen,0,Plan,2016
938,,,,,,1.100.06.02,45820000.0,Erträge aus der Auflösung von Rückstellu,0,Plan,2016
939,,,,,,1.100.06.02,45828000.0,Auflösung Instandhaltungsrückstellungen,0,Plan,2016
940,,,,,,1.100.06.02,45829002.0,Erträge aus der Auflösung RS Gr. Instand,0,Plan,2016
941,,,,,,1.100.06.02,45830000.0,Sonstige n. zahlungsw. ordentl. Erträge,0,Plan,2016
942,,,,,,1.100.06.02,45831000.0,Aufhebung Niederschlagung,0,Plan,2016
943,sonstige ordentliche Erträge,602,Kinder- und Jugendarbeit,1.0,,,,,"-764,05",Plan,2016
944,,,,,,7.000.346.700,47110000.0,Aktivierte Eigenleistungen,0,Plan,2016
945,,,,,,7.000.346.700,47111000.0,Planung 47110000,"-30.000,00",Plan,2016
946,Aktivierte Eigenleistungen,602,Kinder- und Jugendarbeit,1.0,,,,,"-30.000,00",Plan,2016
947,,,,,,1.100.06.02,48110000.0,Erträge aus ILV,-150,Plan,2016
948,,,,,,1.100.06.02,48110007.0,Interne Leistungsbeziehungen FB 10,-10,Plan,2016
949,,,,,,1.100.06.02,48119999.0,Aktivierte Eigenleistung,"-30.000,00",Plan,2016
950,Erträge aus internen Leistungsbeziehungen,602,Kinder- und Jugendarbeit,4.0,,,,,"-30.160,00",Plan,2016
951,,,,,,,49111000.0,Sonstige periodenfremde Erträge-investiv,0,Plan,2016
952,,,,,,1.100.06.02,49111000.0,Sonstige periodenfremde Erträge-investiv,0,Plan,2016
953,Außerordentliche Erträge,602,Kinder- und Jugendarbeit,1.0,,,,,0,Plan,2016
954,,,,,,1.100.06.02,50110000.0,Bezüge Beamte,"81.187,00",Plan,2016
955,,,,,,1.100.06.02,50120000.0,Vergütungen tariflich Beschäftigte,"839.510,00",Plan,2016
956,,,,,,1.100.06.02,50190000.0,Vergütungen sonstige Beschäftigte,0,Plan,2016
957,,,,,,1.100.06.02,50220000.0,Versorgungskassenb. tarifl. Beschäftigte,"67.511,00",Plan,2016
958,,,,,,1.100.06.02,50290000.0,Versorgungskassenb. sonst. Beschäftigte,0,Plan,2016
959,,,,,,1.100.06.02,50320000.0,Beiträge gesetzl.SV tarifl. Beschäftigte,"167.588,00",Plan,2016
960,,,,,,1.100.06.02,50390000.0,Beiträge gesetzl.SV sonst. Beschäftigte,0,Plan,2016
961,,,,,,1.100.06.02,50410000.0,Beihilfen und Unterstützungsleistungen f,"5.702,80",Plan,2016
962,,,,,,1.100.06.02,50411000.0,Beihilf. u.a.taBesch,"16,2",Plan,2016
963,,,,,,1.100.06.02,50510000.0,Rückstellungen für Pensionsverpflichtung,"33.406,00",Plan,2016
964,,,,,,1.100.06.02,50610000.0,Rückstellungen für Beihilfen,"8.907,00",Plan,2016
965,,,,,,1.100.06.02,50710000.0,Zuf. Altersteilzeit Rückstellung Beamte,0,Plan,2016
966,,,,,,1.100.06.02,50720000.0,Zuf. ATZ-RS tBesch,0,Plan,2016
967,,,,,,1.100.06.02,50811000.0,RS Urlaub Beamte,0,Plan,2016
968,,,,,,1.100.06.02,50812000.0,RS Urlaub tarifl. Beschäftigte,0,Plan,2016
969,,,,,,1.100.06.02,50813000.0,RS Überstunden Beamte,0,Plan,2016
970,,,,,,1.100.06.02,50814000.0,RS Überstunden tarifl.Beschäftigte,0,Plan,2016
971,,,,,,1.100.06.02,50911000.0,Zuführ. Rückstellung Besoldungsnachzahlu,0,Plan,2016
972,Personalaufwendungen,602,Kinder- und Jugendarbeit,2.0,,,,,"1.203.828,00",Plan,2016
973,,,,,,1.100.06.02,51210000.0,Beitr. Versorgungsk. Versorgungsempfänge,"451,32",Plan,2016
974,,,,,,1.100.06.02,51410000.0,"Beihilfen, Unterst. Versorgungsempfänger","8.585,76",Plan,2016
975,,,,,,1.100.06.02,51510000.0,Zuf. Pensionsrückst. Versorgungsempf.,"29.129,00",Plan,2016
976,,,,,,1.100.06.02,51610000.0,Zuf. Beihilferückst. Versorgungsempf.,"7.923,00",Plan,2016
977,,,,,,1.100.06.02,51711000.0,Zuführ. Rückstellung Besoldungsnz. Verso,0,Plan,2016
978,Versorgungsaufwendungen,602,Kinder- und Jugendarbeit,2.0,,,,,"46.089,08",Plan,2016
979,,,,,,1.100.06.02,52119000.0,Instandhaltung ZGM,"50.000,00",Plan,2016
980,,,,,,1.100.06.02,52351000.0,Managemententgelte ZGM,"523.269,00",Plan,2016
981,,,,,,1.100.06.02,52410200.0,Bewirtschaftung ENNI,"637.622,00",Plan,2016
982,,,,,,1.100.06.02,52410204.0,"Bewirt. SBM, Außena.","33.578,00",Plan,2016
983,,,,,,1.100.06.02,52411000.0,Aufwendungen Energie,"6.306,00",Plan,2016
984,,,,,,1.100.06.02,52510000.0,Haltung von Fahrzeugen,"20.000,00",Plan,2016
985,,,,,,1.100.06.02,52550000.0,Unterhaltung des so. bewegl. Vermögens,"2.849,00",Plan,2016
986,,,,,,1.100.06.02,52550013.0,Erwerb Vermögensgegenstände < 410 Euro,0,Plan,2016
987,,,,,,1.100.06.02,52810000.0,Sonstige Sachleistungen,"20.000,00",Plan,2016
988,,,,,,1.100.06.02,52810006.0,Sachkosten OGATA,"26.207,00",Plan,2016
989,,,,,,1.100.06.02,52810017.0,Spielplatzprojekte,0,Plan,2016
990,,,,,,1.100.06.02,52810021.0,Maßnahmen gegen Extremismus,0,Plan,2016
991,,,,,,1.100.06.02,52810040.0,Beköstigung OGATA,0,Plan,2016
992,,,,,,1.100.06.02,52810041.0,Offene Einrichtungen für Kinder,"85.568,00",Plan,2016
993,,,,,,1.100.06.02,52810042.0,Landesmittel Jugendarbeit,"110.740,00",Plan,2016
994,,,,,,1.100.06.02,52810044.0,Essensgeld Schulkinderhaus / OGATA,"46.706,00",Plan,2016
995,,,,,,1.100.06.02,52810086.0,Maßnahmen Kulturrucksack,0,Plan,2016
996,Aufwendungen für Sach- und Dienstleistungen,602,Kinder- und Jugendarbeit,2.0,,,,,"1.562.845,00",Plan,2016
997,,,,,,1.100.06.02,53180001.0,Zuschuss Träger freier Jugendhilfe,"1.432.166,00",Plan,2016
998,,,,,,1.100.06.02,53180018.0,Zuschuss Stadtjugendring,0,Plan,2016
999,,,,,,1.100.06.02,53180049.0,Zuschuss Kleingartenvereine,0,Plan,2016
1000,,,,,,1.100.06.02,53180050.0,Zuschuss Jugendwerkstatt SCI,0,Plan,2016
1001,,,,,,1.100.06.02,53180051.0,Zuschuss Ring der polit. Jugendverbände,0,Plan,2016
1002,,,,,,1.100.06.02,53180057.0,Zuschuss Jugendpflege Maßnahmen,"95.859,00",Plan,2016
1003,Transferaufwendungen,602,Kinder- und Jugendarbeit,2.0,,,,,"1.528.025,00",Plan,2016
1004,,,,,,1.100.06.02,54110000.0,Sonstige Personal- und Versorgungsaufw.,0,Plan,2016
1005,,,,,,1.100.06.02,54111000.0,Fahrtkostenerstattung Beamte,"1.381,00",Plan,2016
1006,,,,,,1.100.06.02,54111100.0,Fahrtkostenerstattung tariflich Beschäft,0,Plan,2016
1007,,,,,,1.100.06.02,54115000.0,Personal OGATA,"92.024,00",Plan,2016
1008,,,,,,1.100.06.02,54120001.0,Dienst-/Schutzkleidung,59,Plan,2016
1009,,,,,,1.100.06.02,54220001.0,Lagermiete,"12.120,00",Plan,2016
1010,,,,,,1.100.06.02,54220008.0,Miete JT Mattheck,0,Plan,2016
1011,,,,,,1.100.06.02,54291000.0,Prozesskosten,0,Plan,2016
1012,,,,,,1.100.06.02,54291012.0,Erbbauzinsen,"1.623,00",Plan,2016
1013,,,,,,1.100.06.02,54294000.0,Verwaltungskostenbeitrag RVK,"374,28",Plan,2016
1014,,,,,,1.100.06.02,54310000.0,Büromaterial,"744,86",Plan,2016
1015,,,,,,1.100.06.02,54310005.0,Kosten Spielmobil,"3.501,00",Plan,2016
1016,,,,,,1.100.06.02,54311000.0,Telekommunikation,"2.152,31",Plan,2016
1017,,,,,,1.100.06.02,54311200.0,Zeitungen/Fachliteratur,200,Plan,2016
1018,,,,,,1.100.06.02,54311500.0,Porto,"5.733,53",Plan,2016
1019,,,,,,1.100.06.02,54315002.0,GEZ-Gebühren,510,Plan,2016
1020,,,,,,1.100.06.02,54411005.0,"Steuern, Abgaben","1.913,00",Plan,2016
1021,,,,,,1.100.06.02,54413000.0,Versicherungen,60,Plan,2016
1022,,,,,,1.100.06.02,54490001.0,Wertberichtigung von Forderungen wg.Unei,0,Plan,2016
